Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Greenland,GRD,20577,21372,22143,22470,19855,110263,110874,111449,112002,112519
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Grenada,GUM,33784,33808,33203,33552,0,162948,164281,165770,167295,168783
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Guam,GTM,29367,29782,30283,30967,30037,15827690,16087418,16346950,16604026,16858333
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Guatemala,GIN,4637954,4976159,5144727,5283294,5496906,11738434,12067516,12414292,12771246,13132792
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Guinea,GNB,255725,264089,260892,266017,253421,1782434,1828146,1874304,1920917,1967998
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Guinea-Bissau,GUY,1185878,1224048,1272189,1333836,1904574,771363,775218,779007,782775,786559
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Guyana,HTI,57936,58492,58715,57010,54413,10839976,10982367,11123183,11263079,11402533
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Haiti,HND,21303,21960,22427,22648,20288,9270794,9429016,9587523,9746115,9904608
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Honduras,HKG,369427,380573,388291,378901,357076,7336600,7391700,7451000,7507400,7481800
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Hong Kong SAR, China",HUN,3636120,3803182,4013628,4201813,4002297,9814023,9787966,9775564,9771141,9749763
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Hungary,ISL,7323288,7453599,7598767,7624467,7003643,335439,343400,352721,360563,366425
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Iceland,IND,92926,98191,103526,106624,97166,1324517250,1338676779,1352642283,1366417756,1380004385
GDP per capita (constant LCU),NY.GDP.PCAP.KN,India,IDN,36071050,37456610,38950314,40458254,39201158,261556386,264650969,267670549,270625567,273523621
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Indonesia,IRN,86924761,88948153,82437228,75812336,76082032,79563991,80673888,81800204,82913893,83992953
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Iran,IRQ,5706870,5466123,5276015,5387711,4719686,36610632,37552789,38433604,39309789,40222503
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Iraq,IRL,56378,60858,65228,67923,69395,4755335,4807388,4867316,4934340,4994724
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Ireland,IMN,59543,61003,62010,0,0,83296,83610,84073,84589,85032
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Isle of Man,ISR,141723,143944,146110,148293,142118,8546000,8713300,8882800,9054000,9216900
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Israel,ITA,27657,28160,28480,28893,26407,60627498,60536709,60421760,59729081,59554023
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Italy,JAM,298287,299755,303962,305278,272947,2906242,2920848,2934853,2948277,2961161
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Jamaica,JPN,4205638,4303902,4326573,4347344,0,126994511,126785797,126529100,126264931,125836021
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Japan,JOR,2965,2955,2958,2975,2900,9554286,9785840,9965322,10101697,10203140
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Jordan,KAZ,733715,753478,774127,798597,767848,17794055,18037776,18276452,18513673,18754440
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Kazakhstan,KEN,87677,89751,93246,96042,93615,49051531,50221146,51392570,52573967,53771300
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Kenya,KIR,1659,1650,1663,1675,1691,112529,114153,115842,117608,119446
