Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRL,48182,50321,54471,0,0,,56186,56172,56023,56225,56367
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRD,9628,10153,10486,10816,9680,,110263,110874,111449,112002,112519
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GUM,36214,36602,36502,37724,0,,162948,164281,165770,167295,168783
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GTM,4173,4454,4478,4639,4603,,15827690,16087418,16346950,16604026,16858333
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GIN,732,856,955,1058,1194,,11738434,12067516,12414292,12771246,13132792
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GNB,661,739,803,749,728,,1782434,1828146,1874304,1920917,1967998
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GUY,5811,6125,6146,6610,6956,,771363,775218,779007,782775,786559
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,HTI,1266,1294,1435,1272,1177,,10839976,10982367,11123183,11263079,11402533
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HND,2343,2454,2510,2574,2406,,9270794,9429016,9587523,9746115,9904608
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HKG,43731,46166,48543,48354,46324,,7336600,7391700,7451000,7507400,7481800
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HUN,13091,14606,16411,16733,15899,,9814023,9787966,9775564,9771141,9749763
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,ISL,61988,72010,74348,68883,59261,,335439,343400,352721,360563,366425
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,IND,1733,1981,1997,2101,1901,,1324517250,1338676779,1352642283,1366417756,1380004385
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IDN,3563,3838,3894,4135,3870,,261556386,264650969,267670549,270625567,273523621
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IRN,5253,5520,3598,3115,2283,,79563991,80673888,81800204,82913893,83992953
GDP per capita (current US$),NY.GDP.PCAP.CD,Iran,IRQ,4551,5077,5523,5658,4157,,36610632,37552789,38433604,39309789,40222503
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRL,62994,70413,79298,80779,83813,,4755335,4807388,4867316,4934340,4994724
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IMN,82197,83478,89113,0,0,,83296,83610,84073,84589,85032
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,ISR,37283,40475,41705,43589,43611,,8546000,8713300,8882800,9054000,9216900
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ITA,30940,32327,34609,33567,31676,,60627498,60536709,60421760,59729081,59554023
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,JAM,4844,5070,5360,5369,4665,,2906242,2920848,2934853,2948277,2961161
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JPN,38762,38387,39159,40113,0,,126994511,126785797,126529100,126264931,125836021
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JOR,4175,4232,4308,4405,4283,,9554286,9785840,9965322,10101697,10203140
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,KAZ,7715,9248,9813,9813,9056,,17794055,18037776,18276452,18513673,18754440
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KEN,1411,1572,1708,1817,1838,,49051531,50221146,51392570,52573967,53771300
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KIR,1585,1641,1698,1655,1671,,112529,114153,115842,117608,119446
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,PRK,0,0,0,0,0,,25307665,25429816,25549606,25666158,25778815
GDP per capita (current US$),NY.GDP.PCAP.CD,North Korea,KOR,29289,31617,33423,31846,31489,,51217803,51361911,51606633,51709098,51780579
GDP per capita (current US$),NY.GDP.PCAP.CD,South Korea,XKX,3780,4046,4420,4446,4287,,1777557,1791003,1797085,1788878,1775378
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,KWT,27653,29759,33399,32373,0,,3956862,4056102,4137314,4207077,4270563
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KGZ,1121,1243,1308,1374,1174,,6079500,6198200,6322800,6456200,6591600
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyzstan ,LAO,2309,2424,2542,2545,2630,,6845848,6953031,7061498,7169456,7275556
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LVA,14316,15643,17850,17794,17620,,1959537,1942248,1927174,1913822,1901548
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LBN,7626,7793,8013,7584,4891,,6714281,6819373,6859408,6855709,6825442
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LSO,1019,1103,1192,1113,861,,2075041,2091532,2108327,2125267,2142252
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LBR,715,699,677,622,583,,4586788,4702224,4818976,4937374,5057677
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBY,4035,5757,7877,7686,3699,,6492160,6580723,6678565,6777453,6871287
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LIE,165642,171254,180367,0,0,,37655,37805,37918,38020,38137
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LTU,14998,16844,19167,19555,19998,,2868231,2828403,2801543,2794137,2794700
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LUX,104278,107361,116597,114685,115874,,582014,596336,607950,620001,632275
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,MAC,73569,81045,87555,86118,0,,612824,622578,631633,640446,649342
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MKD,5133,5432,6087,6022,5888,,2080746,2081996,2082957,2083458,2083380
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,476,515,518,526,495,,24894370,25570511,26262313,26969306,27691019
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,316,497,535,583,625,,17205253,17670193,18143215,18628749,19129955
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,9818,10259,11378,11414,10402,,30684652,31104655,31528033,31949789,32365998
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,9209,9578,10277,10626,7456,,475505,496398,515704,530957,540542
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,781,830,895,879,859,,17965448,18512429,19077755,19658023,20250834
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,25741,28251,30672,30186,27885,,455356,467999,484630,504062,525285
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,3491,3673,3794,4073,0,,57723,58053,58412,58791,59194
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1537,1578,1601,1679,1673,,4163532,4282582,4403312,4525698,4649660
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,9682,10485,11208,11098,8623,,1263473,1264613,1265303,1265711,1265740
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,8745,9288,9687,9946,8347,,123333379,124777326,126190782,127575529,128932753
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3015,3290,3568,3585,0,,110215,111461,112640,113811,115021
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,2880,3510,4230,4494,4551,,2802170,2755158,2708214,2663251,2617820
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,170029,167517,185979,190513,0,,38070,38392,38682,38967,39244
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,3660,3669,4135,4340,4007,,3056358,3113788,3170214,3225166,3278292
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,7034,7803,8850,8911,7686,,622303,622373,622227,622028,621718
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,2897,3035,3227,3230,3009,,35126274,35581257,36029089,36471766,36910558
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,429,461,503,504,449,,27829930,28649007,29496009,30366043,31255435
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1158,1258,1279,1477,1400,,53045199,53382521,53708318,54045422,54409794
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4547,5367,5588,5037,4211,,2358044,2402623,2448300,2494524,2540916
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,9556,10361,11615,10983,0,,10474,10577,10678,10764,10834
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,900,1048,1179,1195,1155,,27263430,27632682,28095712,28608715,29136808
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,46008,48555,53019,52295,52304,,17030314,17131296,17231624,17344874,17441139
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,0,0,0,0,0,,269350,270000,270650,271300,271960
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,40080,42993,43306,41999,41792,,4714100,4813600,4900600,4979300,5084300
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,2108,2159,2015,1927,1905,,6303970,6384843,6465502,6545503,6624554
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,498,518,572,554,565,,20788789,21602388,22442831,23310719,24206636
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2176,1969,2028,2230,2097,,185960244,190873247,195874685,200963603,206139587
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MNP,21891,27585,22887,20660,0,,56187,56553,56889,57213,57557
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,NOR,70461,75497,82268,75826,67294,,5234519,5276968,5311916,5347896,5379475
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,OMN,14610,15128,16521,15343,0,,4479217,4665926,4829476,4974992,5106622
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,PAK,1368,1465,1482,1285,1194,,203631356,207906210,212228288,216565317,220892331
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PLW,16653,16065,15657,14908,0,,17718,17809,17911,18001,18092
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PAN,14344,15146,15545,15728,12269,,4037073,4106764,4176868,4246440,4314768
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PNG,2510,2695,2801,2829,2637,,8271766,8438038,8606324,8776119,8947027
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PRY,5325,5679,5783,5381,4950,,6777878,6867058,6956069,7044639,7132530
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PER,6205,6711,6958,7028,6127,,30926036,31444299,31989265,32510462,32971846
