Series Name,Country,Country Code,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,,Series Name,Continent(Population),Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],,Series Name,Continent,Country Code,GDP per capita (2016),GDP per capita (2017),GDP per capita (2018),GDP per capita (2019),GDP per capita (2020),,,,Series Name,Country Name(Population),Country Code,Population_2016 ,Population_2017,Population_2018,Population_2019,Population_2020
GDP per capita (current US$),Dem. Rep. Congo,COD,471,467,557,581,557,,,,,,,,,,,,,,,,,,,,,,"Population, total","Congo, Dem. Rep.",COD,78789130.00,81398765.00,84068092.00,86790568.00,89561404.00
GDP per capita (current US$),Congo,COG,2039,2174,2601,2359,1973,,,,,,,,,,,,,,,,,,,,,,"Population, total","Congo, Rep.",COG,4980996.00,5110701.00,5244363.00,5380504.00,5518092.00
GDP per capita (current US$),Costa Rica,CRI,12011,12226,12469,12670,12077,,,,,,,,,,,,,,,,,,,,,,"Population, total",Costa Rica,CRI,4899336.00,4949955.00,4999443.00,5047561.00,5094114.00
GDP per capita (current US$),Côte d'Ivoire,CIV,2013,2111,2314,2276,2326,,,,,,,,,,,,,,,,,,,,,,"Population, total",Cote d'Ivoire,CIV,23822726.00,24437475.00,25069226.00,25716554.00,26378275.00
GDP per capita (current US$),Croatia,HRV,12361,13452,15014,14944,13828,,,,,,,,,,,,,,,,,,,,,,"Population, total",Croatia,HRV,4174349.00,4124531.00,4087843.00,4065253.00,4047200.00
GDP per capita (current US$),Cuba,CUB,8061,8541,8824,9100,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Cuba,CUB,11335108.00,11339255.00,11338146.00,11333484.00,11326616.00
GDP per capita (current US$),Curacao,CUW,19555,19458,19631,19701,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Curacao,CUW,159664.00,160175.00,159336.00,157441.00,155014.00
GDP per capita (current US$),Cyprus,CYP,24606,26444,29089,28288,26624,,,,,,,,,,,,,,,,,,,,,,"Population, total",Cyprus,CYP,1170189.00,1179685.00,1189262.00,1198574.00,1207361.00
GDP per capita (current US$),Czechia,CZE,18575,20636,23420,23490,22762,,,,,,,,,,,,,,,,,,,,,,"Population, total",Czech Republic,CZE,10566332.00,10594438.00,10629928.00,10671870.00,10698896.00
GDP per capita (current US$),Denmark,DNK,54664,57610,61599,60213,60909,,,,,,,,,,,,,,,,,,,,,,"Population, total",Denmark,DNK,5728010.00,5764980.00,5793636.00,5814422.00,5831404.00
GDP per capita (current US$),Djibouti,DJI,2802,2914,3142,3415,3426,,,,,,,,,,,,,,,,,,,,,,"Population, total",Djibouti,DJI,929117.00,944100.00,958923.00,973557.00,988002.00
GDP per capita (current US$),Dominica,DMA,8081,7275,7694,8002,6527,,,,,,,,,,,,,,,,,,,,,,"Population, total",Dominica,DMA,71307.00,71460.00,71626.00,71808.00,71991.00
GDP per capita (current US$),Dominican Rep.,DOM,7281,7609,8051,8282,7268,,,,,,,,,,,,,,,,,,,,,,"Population, total",Dominican Republic,DOM,10397738.00,10513111.00,10627147.00,10738957.00,10847904.00
GDP per capita (current US$),Ecuador,ECU,6060,6214,6296,6223,5600,,,,,,,,,,,,,,,,,,,,,,"Population, total",Ecuador,ECU,16491116.00,16785356.00,17084359.00,17373657.00,17643060.00
GDP per capita (current US$),Egypt,EGY,3520,2444,2537,3019,3548,,,,,,,,,,,,,,,,,,,,,,"Population, total","Egypt, Arab Rep.",EGY,94447071.00,96442590.00,98423602.00,100388076.00,102334403.00
GDP per capita (current US$),El Salvador,SLV,3806,3910,4053,4168,3799,,,,,,,,,,,,,,,,,,,,,,"Population, total",El Salvador,SLV,6356137.00,6388124.00,6420740.00,6453550.00,6486201.00
GDP per capita (current US$),Equatorial Guinea,GNQ,9250,9668,10006,8420,7143,,,,,,,,,,,,,,,,,,,,,,"Population, total",Equatorial Guinea,GNQ,1215181.00,1262008.00,1308966.00,1355982.00,1402985.00
GDP per capita (current US$),Eritrea,ERI,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Eritrea,ERI,0.00,0.00,0.00,0.00,0.00
GDP per capita (current US$),Estonia,EST,18437,20408,23159,23718,23312,,,,,,,,,,,,,,,,,,,,,,"Population, total",Estonia,EST,1315790.00,1317384.00,1321977.00,1326898.00,1331057.00
GDP per capita (current US$),Ethiopia,ETH,717,769,772,856,936,,,,,,,,,,,,,,,,,,,,,,"Population, total",Ethiopia,ETH,103603461.00,106399926.00,109224410.00,112078727.00,114963583.00
