Country Name,Country Code,Series Name,Series Code,2016 [GDP GROWTH|2016],2017 [GDP GROWTH|2017],2018 [GDP GROWTH|2018],2019 [GDP GROWTH|2019],Growth,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Korea, Dem. People's Rep.",PRK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,51217803,51361911,51606633,51709098,51780579
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,3,3,2,-1,1777557,1791003,1797085,1788878,1775378
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,4,5,-7,3956862,4056102,4137314,4207077,4270563
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,-5,1,0,0,6079500,6198200,6322800,6456200,6591600
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,5,4,5,-9,6845848,6953031,7061498,7169456,7275556
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,7,6,5,0,1959537,1942248,1927174,1913822,1901548
Latvia,LVA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,3,4,2,-4,6714281,6819373,6859408,6855709,6825442
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,1,-2,-7,-20,2075041,2091532,2108327,2125267,2142252
Lesotho,LSO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,-3,-1,0,-11,4586788,4702224,4818976,4937374,5057677
Liberia,LBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2,2,1,-2,-3,6492160,6580723,6678565,6777453,6871287
Libya,LBY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3,27,15,3,-31,37655,37805,37918,38020,38137
Liechtenstein,LIE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,2868231,2828403,2801543,2794137,2794700
Lithuania,LTU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,4,4,4,-1,582014,596336,607950,620001,632275
Luxembourg,LUX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,2,3,2,-1,612824,622578,631633,640446,649342
"Macao SAR, China",MAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1,10,6,-3,-56,2080746,2081996,2082957,2083458,2083380
Madagascar,MDG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,3,4,-4,24894370,25570511,26262313,26969306,27691019
Malawi,MWI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,4,4,6,1,17205253,17670193,18143215,18628749,19129955
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,6,5,4,-6,30684652,31104655,31528033,31949789,32365998
Maldives,MDV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,7,8,7,-32,475505,496398,515704,530957,540542
Mali,MLI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,5,5,5,-2,17965448,18512429,19077755,19658023,20250834
Malta,MLT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,8,5,6,-7,455356,467999,484630,504062,525285
Marshall Islands,MHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,3,3,7,0,57723,58053,58412,58791,59194
Mauritania,MRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,3,2,6,-1,4163532,4282582,4403312,4525698,4649660
Mauritius,MUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,4,3,-15,1263473,1264613,1265303,1265711,1265740
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,2,2,0,-8,123333379,124777326,126190782,127575529,128932753
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,3,0,1,0,110215,111461,112640,113811,115021
